id,name,continentId,x,y,neighbors
lindon,Lindon,eriador,0.12,0.17,the_shire|eriador
the_shire,The Shire,eriador,0.22,0.29,lindon|eriador|dunland
eriador,Eriador,eriador,0.36,0.23,lindon|the_shire|forodwaith|rhovanion|dunland
forodwaith,Forodwaith,rhovanion,0.55,0.06,eriador|rhovanion|dale|rhun
dunland,Dunland,rohan,0.30,0.46,the_shire|eriador|rohan|gap_of_rohan|gondor
rohan,Rohan,rohan,0.43,0.47,dunland|fangorn|gap_of_rohan|gondor|emyn_muil
fangorn,Fangorn,rohan,0.56,0.36,rohan|rhovanion|mirkwood|brown_lands|emyn_muil
gap_of_rohan,Gap of Rohan,rohan,0.48,0.61,dunland|rohan|gondor|harondor
rhovanion,Rhovanion,rhovanion,0.60,0.18,eriador|forodwaith|fangorn|mirkwood|dale|brown_lands|dagorlad
mirkwood,Mirkwood,mirkwood,0.73,0.29,rhovanion|fangorn|dale|brown_lands|dagorlad|rhun
dale,Dale,mirkwood,0.77,0.12,forodwaith|rhovanion|mirkwood|dagorlad|rhun
dorwinion,Dorwinion,rhun,0.90,0.48,rhun|mordor|near_harad
rhun,Rhun,rhun,0.94,0.32,forodwaith|dale|mirkwood|dagorlad|dorwinion|mordor
brown_lands,Brown Lands,rhovanion,0.63,0.43,rhovanion|fangorn|mirkwood|emyn_muil|dagorlad|dead_marshes
emyn_muil,Emyn Muil,rhovanion,0.68,0.56,rohan|fangorn|brown_lands|ithilien|dead_marshes
dagorlad,Dagorlad,mirkwood,0.75,0.24,rhovanion|mirkwood|dale|rhun|brown_lands|dead_marshes|mordor
gondor,Gondor,gondor,0.36,0.77,dunland|rohan|gap_of_rohan|ithilien|harondor
ithilien,Ithilien,gondor,0.60,0.67,emyn_muil|gondor|dead_marshes|mordor|harondor
dead_marshes,Dead Marshes,mordor,0.73,0.60,brown_lands|emyn_muil|dagorlad|ithilien|mordor
mordor,Mordor,mordor,0.83,0.70,dagorlad|dead_marshes|ithilien|rhun|dorwinion|harondor|near_harad
harondor,Harondor,haradwaith,0.56,0.83,gap_of_rohan|gondor|ithilien|mordor|near_harad
near_harad,Near Harad,haradwaith,0.79,0.90,harondor|mordor|dorwinion
